Matched Shingle,Entity,Search Query,Visits,Conversion,Revenue
we made too much,Category,womens we made too much,5843,5.05%,"$19,740.70"
cropped,Length,cropped define jacket,12893,13.85%,"$202,285.80"
define,Collections,cropped define jacket,12893,13.85%,"$202,285.80"
shorts,Category,hottie hot shorts,8257,5.61%,"$35,385.25"
ready to rulu,Collections,ready to rulu jogger,8472,12.58%,"$88,436.85"
surge,Collections,surge joggers,11372,20.61%,"$280,432.87"
joggers,Category,surge joggers,11372,20.61%,"$280,432.87"
define,Collections,define cropped,10237,11.52%,"$129,677.60"
cropped,Length,define cropped,10237,11.52%,"$129,677.60"
bowline,Collections,bowline,8913,15.15%,"$106,946.65"
sneakers,Attribute,sneakers,8619,12.55%,"$110,496.75"
mini,Length,mini flare,14026,12.80%,"$208,678.40"
hair ties,Attribute,hair ties,13959,15.91%,"$37,083.70"
white,Color name,white,8890,5.47%,"$43,565.40"
pipe dream blue,Color name,pipe dream blue,9341,9.11%,"$71,089.80"
blue,Color Family,pipe dream blue,9341,9.11%,"$71,089.80"
hawaiian blue,Color name,hawaiian blue,7351,5.50%,"$27,542.45"
blue,Color Family,hawaiian blue,7351,5.50%,"$27,542.45"
hot heat,Color name,hot heat,10950,11.33%,"$96,097.50"
tights,Category,fast and free tights,8294,10.90%,"$107,776.85"
wunder train,Collections,wunder train tank,8287,9.66%,"$42,341.14"
align,Collections,align with pockets,9417,17.68%,"$215,288.20"
commission,Collections,commission short,8281,17.60%,"$150,663.23"
short,Length,commission short,8281,17.60%,"$150,663.23"
dance,Activity,dance jogger,9867,12.39%,"$128,086.65"
everywhere,Collections,everywhere crossbody,7112,13.72%,"$51,720.45"
women,Category,women,7837,4.76%,"$34,758.95"
black,Color name,black camo leggings,8026,11.46%,"$97,620.80"
leggings,Category,black camo leggings,8026,11.46%,"$97,620.80"
pants,Category,men's pants,6794,8.20%,"$80,745.55"
purple,Color Family,purple ash,11977,11.05%,"$110,706.20"
purple ash,Color name,purple ash,11977,11.05%,"$110,706.20"
align,Collections,align wide leg,12844,15.10%,"$203,294.95"
commission,Collections,commission pant classic,7000,12.97%,"$132,177.83"
underwear,Category,men's underwear,10118,26.83%,"$241,776.40"
pants,Category,studio pants,9390,8.25%,"$96,280.12"
align,Collections,align tanks,8222,3.07%,"$17,053.20"
energy,Collections,energy,9551,11.76%,"$66,442.05"
white,Color name,white leggings,6759,7.21%,"$49,574.00"
leggings,Category,white leggings,6759,7.21%,"$49,574.00"
pace breaker,Collections,pace breaker linerless,13947,31.80%,"$320,594.25"
running,Activity,running vest,9945,8.60%,"$108,499.30"
electric turquoise,Color name,electric turquoise,5642,2.26%,"$10,779.70"
instill,Collections,instill,8045,10.90%,"$54,815.20"
shorts,Category,camo shorts,6309,1.86%,"$6,923.75"
groove,Collections,groove pant,9531,9.20%,"$89,708.20"
Swiftly,Collections,Swiftly tech racerback,8381,19.63%,"$96,080.00"
running,Activity,running belt,12921,20.73%,"$100,523.05"
speed up,Collections,speed up shorts 4,7314,11.69%,"$64,301.10"
shorts,Category,speed up shorts 4,7314,11.69%,"$64,301.10"
4,Size,speed up shorts 4,7314,11.69%,"$64,301.10"
white,Color name,white opal,6777,6.76%,"$30,506.35"
white opal,Color name,white opal,6777,6.76%,"$30,506.35"
navy,Color Family,navy,8852,7.87%,"$67,799.70"
align,Collections,align bike short,7168,1.77%,"$6,801.65"
bike,Activity,align bike short,7168,1.77%,"$6,801.65"
short,Length,align bike short,7168,1.77%,"$6,801.65"
swim,Activity,women's swim,5178,4.66%,"$20,310.70"
swiftly,Collections,swiftly tech tank,8188,10.78%,"$52,480.15"
white,Color name,white tank,7206,12.65%,"$57,321.70"
surge,Collections,surge,9806,15.93%,"$167,207.21"
white,Color name,white skirt,7106,9.06%,"$52,396.05"
short,Length,short shorts,7522,9.04%,"$54,989.70"
